product_id,current_stock,min_stock,max_stock,reorder_point
8021821,136,29,273,114
8135329,109,8,147,57
8021462,69,5,200,73
8021631,191,40,192,93
8135307,138,16,219,87
8141600,233,33,253,110
8141599,126,13,155,63
8141598,246,6,215,79
8143529,162,10,165,64
8143527,49,30,176,81
8143526,78,13,90,40
8143528,28,28,212,92
8143535,223,6,211,78
8143536,103,13,137,56
8143538,207,35,257,113
8143546,18,24,256,105
8143545,109,20,90,45
8143537,179,34,230,103
8143543,111,7,108,42
8143540,29,17,99,46
8143539,18,25,100,51
8143523,76,12,160,64
8143541,137,27,181,81
8143520,12,15,94,43
8143521,206,7,188,70
8143547,130,29,192,86
8143522,24,30,129,65
8143524,222,24,238,99
8143544,177,40,187,91
8143542,175,29,169,78
8143525,59,17,159,67
8143531,107,25,107,54
8143533,22,24,92,48
8143534,127,27,194,85
8143532,152,34,156,77
8143530,112,35,120,65
8001501,119,21,105,50
6301977,41,10,130,52
6301980,192,26,189,83
6301981,102,10,135,54
6301984,185,40,150,79
6301985,142,22,115,55
6301986,95,9,172,66
6301993,51,36,101,59
6302000,105,31,171,80
6302001,136,24,207,88
6302004,13,5,198,73
6302005,66,12,203,79
6302007,7,18,99,46
6302008,48,16,138,59
6302009,170,17,145,62
6301978,110,13,158,64
8140041,214,11,206,79
8140039,15,23,231,96
8140037,2,17,89,42
8140038,19,29,260,110
8140040,215,39,197,94
9996435,47,30,236,102
8127378,130,8,124,49
8127379,25,33,144,72
8127382,273,36,236,106
8117581,59,21,125,57
8141053,35,20,86,43
8142150,125,40,210,100
8142149,141,14,154,63
8142151,6,10,143,57
8142148,85,16,189,77
8127345,55,28,167,77
8143917,272,39,232,107
8123799,75,6,117,45
8129066,188,15,150,62
8125771,181,27,195,86
8139643,188,9,184,70
8132961,171,7,230,85
8132960,13,31,107,58
8117584,146,34,218,98
8139646,22,12,155,62
8143427,58,13,258,99
8139647,64,29,176,80
8127653,126,32,107,58
8139851,237,38,263,117
8139852,97,10,92,39
8127302,247,29,241,103
8135525,21,23,264,107
8125017,75,25,165,74
8117582,20,17,227,91
8119171,31,21,171,74
