product_id,lead_time_days,safety_stock
8021821,2,29
8135329,3,8
8021462,5,5
8021631,2,40
8135307,4,16
8141600,6,33
8141599,6,13
8141598,3,6
8143529,2,10
8143527,3,30
8143526,4,13
8143528,7,28
8143535,2,6
8143536,5,13
8143538,4,35
8143546,3,24
8143545,3,20
8143537,6,34
8143543,6,7
8143540,4,17
8143539,3,25
8143523,3,12
8143541,3,27
8143520,5,15
8143521,7,7
8143547,4,29
8143522,3,30
8143524,4,24
8143544,2,40
8143542,5,29
8143525,5,17
8143531,7,25
8143533,4,24
8143534,2,27
8143532,5,34
8143530,7,35
8001501,6,21
6301977,5,10
6301980,4,26
6301981,4,10
6301984,6,40
6301985,5,22
6301986,3,9
6301993,5,36
6302000,6,31
6302001,7,24
6302004,3,5
6302005,2,12
6302007,4,18
6302008,2,16
6302009,3,17
6301978,5,13
8140041,3,11
8140039,6,23
8140037,5,17
8140038,7,29
8140040,3,39
9996435,6,30
8127378,2,8
8127379,5,33
8127382,6,36
8117581,3,21
8141053,6,20
8142150,7,40
8142149,6,14
8142151,5,10
8142148,4,16
8127345,6,28
8143917,4,39
8123799,3,6
8129066,3,15
8125771,4,27
8139643,7,9
8132961,3,7
8132960,3,31
8117584,3,34
8139646,6,12
8143427,2,13
8139647,4,29
8127653,3,32
8139851,6,38
8139852,7,10
8127302,5,29
8135525,2,23
8125017,6,25
8117582,2,17
8119171,2,21
8119173,3,8
8119169,5,15
8125469,7,6
8119158,6,36
8126574,3,25
8125767,2,10
8122071,4,14
8139850,3,31
8125726,5,7
8123005,6,37
8132963,6,32
8132962,3,8
8131668,2,11
8131667,3,27
8119178,5,37
8119175,3,19
8119176,3,6
8143076,5,17
8139642,2,32
8117580,3,18
8139848,3,11
8121215,6,10
8117583,5,12
8141054,3,9
8143077,2,7
8143428,4,35
8131411,3,16
8131417,6,23
8131410,2,21
8125375,6,32
8117567,7,16
8040341,4,5
8033185,5,29
8117569,2,26
8117571,2,22
4268,4,23
9990984,2,37
8128066,2,29
8129708,5,6
8129710,7,20
8135204,7,21
8130740,2,9
8129718,3,22
8128070,6,24
8128071,7,14
8129719,4,11
8128068,3,8
8128067,3,16
8130737,2,39
8128065,5,17
8130742,3,34
8130744,5,8
8128063,2,26
8130729,4,34
8130731,2,33
6310019,4,30
8128818,5,10
8128817,6,27
8135201,7,8
8128820,4,9
8135202,3,32
8128819,7,27
8130734,6,39
6310023,5,24
6310020,3,37
8130735,3,28
8128060,7,30
8130732,3,34
8129714,3,35
8128062,3,29
8130736,7,6
8130730,6,29
8128061,3,38
8129721,6,12
8128064,5,27
6310021,5,18
6310022,6,31
8129711,4,25
6310018,2,18
8130733,5,13
8129717,5,37
6310024,6,40
8131467,5,13
8131470,7,28
8131471,3,14
9994883,2,38
8043483,4,33
8141915,7,37
8043658,5,18
8043479,7,18
8131472,5,6
8043478,7,5
8038567,6,35
8043420,3,10
8141860,2,8
8043480,6,29
8043482,6,16
8135878,5,37
8135881,5,15
8139959,3,32
8139958,3,6
8139961,7,13
8139960,2,22
8139962,3,6
8135876,3,29
8135883,7,11
8135882,3,13
8135884,5,30
8141638,2,28
8141639,5,27
8024375,7,22
8024376,2,22
8132635,5,24
8031310,3,37
8115722,6,6
8039474,7,12
8039477,6,38
8039476,4,23
8131317,7,19
8018369,2,13
8122322,2,28
8110940,5,26
8131289,5,19
8131291,5,20
8131292,4,34
8118282,2,39
8118283,3,36
8141347,5,30
8141346,6,7
8141345,4,38
8136100,4,6
8136054,3,6
8136053,4,19
8136046,4,28
8136051,7,11
8136049,4,5
8133087,3,6
8133086,3,9
8134607,4,21
8134606,3,15
6309864,5,30
8139935,7,10
8139933,5,26
8139934,4,8
8023033,5,31
8023035,7,13
8023034,7,10
8021735,2,23
8134609,4,8
8139519,2,29
8139518,6,40
8139517,7,5
8134608,5,21
8020142,5,36
8021415,4,20
8020141,4,15
8020140,5,18
8020139,7,29
8139589,4,21
8139586,3,15
8139588,7,14
8139587,4,6
8139590,6,11
8139592,6,13
8139591,7,36
8005617,2,32
8138483,2,19
8013721,7,11
8115723,3,27
8125431,2,29
8015970,3,33
8141962,5,36
8141193,5,10
8141196,7,13
8141194,3,16
8141192,2,34
8141195,7,31
8141191,7,31
8141686,6,23
8143693,5,37
8141684,3,33
8143695,6,10
8141688,3,10
8141685,7,8
8141690,4,7
8143694,7,15
8143692,4,13
8141683,4,39
8139594,5,5
8140780,2,35
8137162,3,27
8139595,3,8
8139596,3,20
8140778,2,15
8137163,7,8
8140777,2,32
8137161,6,14
8139597,6,24
8140781,6,22
8140776,2,23
8137160,7,14
8140779,2,39
8042649,6,7
8132750,3,9
8132744,2,18
8110783,4,15
8010099,5,11
8140852,6,12
8140851,2,10
8140850,3,15
8140841,2,33
8140849,4,15
8140842,6,27
8140839,4,29
8140845,2,32
8140829,2,15
8140838,6,30
8140837,5,6
8140836,4,11
8140835,3,26
8140833,3,38
8140834,4,34
8140848,5,5
8140846,3,38
8042827,6,37
8117390,4,21
8117392,5,35
8117393,2,27
8025922,7,6
8025913,4,13
8025914,7,10
8025944,3,28
8025945,7,39
8025946,4,9
8115410,7,22
8025947,4,40
8034949,5,32
8039700,2,27
8115409,6,24
8025915,5,27
8025918,3,19
8025920,3,9
8025921,2,7
8117357,5,6
8029040,5,20
8025924,6,5
8025925,3,33
8039698,3,10
8122910,4,15
8025927,4,32
8025930,3,34
8029041,4,22
8025931,3,18
8025932,4,11
8039699,3,25
8122911,2,10
8037774,5,32
8025933,5,28
8025934,4,27
8117358,5,11
8029042,4,19
8025935,4,7
8025936,7,5
8037775,2,40
8025937,3,15
8134805,7,32
8025938,6,20
8025940,5,34
8037776,7,19
8025942,7,34
8134806,7,26
8025948,2,24
8035938,7,13
8035939,6,20
8035940,3,18
8035941,7,10
8035942,4,27
8124985,5,40
8124984,6,7
8035944,6,30
8035945,6,17
8035948,2,26
8124983,5,33
8035949,4,6
8124097,2,24
8035950,4,27
8035951,5,6
8035952,5,38
8035953,3,28
8035954,2,5
8035955,4,7
8035956,4,11
8035957,6,16
8035958,7,23
8035959,6,27
8124098,3,36
8035960,4,6
8111430,6,15
8025952,7,9
8136673,6,31
8136674,4,25
8136676,6,25
8136678,5,24
8136685,2,14
8136680,4,5
8136684,4,7
8136682,7,13
8136683,7,13
8136686,5,19
8137585,4,26
8137589,2,15
8137587,2,9
8137536,5,6
8137549,7,28
8137550,7,10
8142451,6,20
6310590,3,39
8039645,3,9
8126466,5,40
8137537,6,32
8126063,4,19
8137555,2,31
8137556,5,17
8119388,4,20
6310595,7,21
8137544,6,6
8129210,4,29
8137539,2,28
8137547,2,38
8137552,2,29
8137553,6,39
8137554,5,6
8114314,4,29
8033610,2,14
8033611,6,16
8033612,2,26
8140935,6,24
8140936,2,25
8140933,2,19
8140934,6,28
8140937,5,12
8140938,2,31
8029397,6,30
8140942,6,20
8029396,2,18
8119719,2,38
8140941,7,9
8137593,6,25
8137596,6,31
8137591,3,19
8137594,5,31
8137592,6,21
8137595,5,37
8137590,2,22
8039651,2,33
8039649,2,37
8039653,2,36
8039654,5,27
8039652,4,15
8039650,6,25
8137580,6,24
8137581,3,25
8137582,5,38
8137583,5,35
8140931,7,20
8140932,5,40
8137572,4,39
8137573,3,14
8137569,2,38
8137570,5,20
8137597,6,36
8137598,3,16
8137575,2,39
8137577,7,22
8137574,7,28
8137576,5,36
8040307,3,24
8116613,2,15
8029412,6,15
8029411,2,12
8029413,4,15
8007977,3,12
8029414,5,20
8007978,5,18
8140928,6,23
8140929,7,35
8137579,2,20
8031442,6,5
8137578,6,10
8031443,2,24
8141947,4,11
8141946,3,14
