product_id,days,units_sold,period_end
8021821,30,56,2026-08-25
8135329,30,293,2026-08-25
8021462,30,28,2026-08-25
8021631,30,234,2026-08-25
8135307,30,279,2026-08-25
8141600,30,269,2026-08-25
8141599,30,236,2026-08-25
8141598,30,145,2026-08-25
8143529,30,147,2026-08-25
8143527,30,44,2026-08-25
8143526,30,174,2026-08-25
8143528,30,50,2026-08-25
8143535,30,262,2026-08-25
8143536,30,44,2026-08-25
8143538,30,127,2026-08-25
8143546,30,27,2026-08-25
8143545,30,214,2026-08-25
8143537,30,191,2026-08-25
8143543,30,110,2026-08-25
8143540,30,75,2026-08-25
8143539,30,267,2026-08-25
8143523,30,55,2026-08-25
8143541,30,53,2026-08-25
8143520,30,167,2026-08-25
8143521,30,55,2026-08-25
8143547,30,234,2026-08-25
8143522,30,58,2026-08-25
8143524,30,162,2026-08-25
8143544,30,168,2026-08-25
8143542,30,84,2026-08-25
8143525,30,165,2026-08-25
8143531,30,166,2026-08-25
8143533,30,294,2026-08-25
8143534,30,37,2026-08-25
8143532,30,62,2026-08-25
8143530,30,262,2026-08-25
8001501,30,220,2026-08-25
6301977,30,287,2026-08-25
6301980,30,199,2026-08-25
6301981,30,118,2026-08-25
6301984,30,127,2026-08-25
6301985,30,46,2026-08-25
6301986,30,232,2026-08-25
6301993,30,180,2026-08-25
6302000,30,247,2026-08-25
6302001,30,287,2026-08-25
6302004,30,27,2026-08-25
6302005,30,24,2026-08-25
6302007,30,162,2026-08-25
6302008,30,266,2026-08-25
6302009,30,298,2026-08-25
6301978,30,200,2026-08-25
8140041,30,194,2026-08-25
8140039,30,93,2026-08-25
8140037,30,51,2026-08-25
8140038,30,221,2026-08-25
8140040,30,145,2026-08-25
9996435,30,252,2026-08-25
8127378,30,182,2026-08-25
8127379,30,47,2026-08-25
8127382,30,179,2026-08-25
8117581,30,136,2026-08-25
8141053,30,145,2026-08-25
8142150,30,85,2026-08-25
8142149,30,68,2026-08-25
8142151,30,241,2026-08-25
8142148,30,44,2026-08-25
8127345,30,250,2026-08-25
8143917,30,144,2026-08-25
8123799,30,88,2026-08-25
8129066,30,297,2026-08-25
8125771,30,61,2026-08-25
8139643,30,54,2026-08-25
8132961,30,160,2026-08-25
8132960,30,226,2026-08-25
8117584,30,68,2026-08-25
8139646,30,129,2026-08-25
8143427,30,185,2026-08-25
8139647,30,169,2026-08-25
8127653,30,50,2026-08-25
8139851,30,170,2026-08-25
8139852,30,174,2026-08-25
8127302,30,109,2026-08-25
8135525,30,41,2026-08-25
8125017,30,49,2026-08-25
8117582,30,102,2026-08-25
8119171,30,264,2026-08-25
8119173,30,201,2026-08-25
8119169,30,32,2026-08-25
8125469,30,254,2026-08-25
8119158,30,242,2026-08-25
8126574,30,210,2026-08-25
8125767,30,260,2026-08-25
8122071,30,285,2026-08-25
8139850,30,33,2026-08-25
8125726,30,261,2026-08-25
8123005,30,37,2026-08-25
8132963,30,163,2026-08-25
8132962,30,205,2026-08-25
8131668,30,114,2026-08-25
8131667,30,211,2026-08-25
8119178,30,132,2026-08-25
8119175,30,171,2026-08-25
8119176,30,192,2026-08-25
8143076,30,230,2026-08-25
8139642,30,148,2026-08-25
8117580,30,279,2026-08-25
8139848,30,221,2026-08-25
8121215,30,287,2026-08-25
8117583,30,285,2026-08-25
8141054,30,157,2026-08-25
8143077,30,28,2026-08-25
8143428,30,113,2026-08-25
8131411,30,132,2026-08-25
8131417,30,86,2026-08-25
8131410,30,106,2026-08-25
8125375,30,99,2026-08-25
8117567,30,71,2026-08-25
8040341,30,116,2026-08-25
8033185,30,134,2026-08-25
8117569,30,44,2026-08-25
8117571,30,20,2026-08-25
4268,30,216,2026-08-25
9990984,30,42,2026-08-25
8128066,30,177,2026-08-25
8129708,30,257,2026-08-25
8129710,30,260,2026-08-25
8135204,30,158,2026-08-25
8130740,30,88,2026-08-25
8129718,30,87,2026-08-25
8128070,30,59,2026-08-25
8128071,30,145,2026-08-25
8129719,30,284,2026-08-25
8128068,30,286,2026-08-25
8128067,30,37,2026-08-25
8130737,30,85,2026-08-25
8128065,30,166,2026-08-25
8130742,30,273,2026-08-25
8130744,30,48,2026-08-25
8128063,30,150,2026-08-25
8130729,30,29,2026-08-25
8130731,30,292,2026-08-25
6310019,30,168,2026-08-25
8128818,30,135,2026-08-25
8128817,30,87,2026-08-25
8135201,30,98,2026-08-25
8128820,30,25,2026-08-25
8135202,30,37,2026-08-25
8128819,30,21,2026-08-25
8130734,30,198,2026-08-25
6310023,30,73,2026-08-25
6310020,30,101,2026-08-25
8130735,30,101,2026-08-25
8128060,30,243,2026-08-25
8130732,30,176,2026-08-25
8129714,30,149,2026-08-25
8128062,30,263,2026-08-25
8130736,30,57,2026-08-25
8130730,30,253,2026-08-25
8128061,30,219,2026-08-25
8129721,30,153,2026-08-25
8128064,30,254,2026-08-25
6310021,30,160,2026-08-25
6310022,30,103,2026-08-25
8129711,30,83,2026-08-25
6310018,30,196,2026-08-25
8130733,30,89,2026-08-25
8129717,30,142,2026-08-25
6310024,30,68,2026-08-25
8131467,30,264,2026-08-25
8131470,30,74,2026-08-25
8131471,30,175,2026-08-25
9994883,30,257,2026-08-25
8043483,30,261,2026-08-25
8141915,30,157,2026-08-25
8043658,30,273,2026-08-25
8043479,30,225,2026-08-25
8131472,30,141,2026-08-25
8043478,30,164,2026-08-25
8038567,30,257,2026-08-25
8043420,30,131,2026-08-25
8141860,30,219,2026-08-25
8043480,30,257,2026-08-25
8043482,30,180,2026-08-25
8135878,30,253,2026-08-25
8135881,30,89,2026-08-25
8139959,30,60,2026-08-25
8139958,30,28,2026-08-25
8139961,30,283,2026-08-25
8139960,30,76,2026-08-25
8139962,30,216,2026-08-25
8135876,30,54,2026-08-25
8135883,30,95,2026-08-25
8135882,30,58,2026-08-25
8135884,30,77,2026-08-25
8141638,30,50,2026-08-25
8141639,30,175,2026-08-25
8024375,30,131,2026-08-25
8024376,30,88,2026-08-25
8132635,30,99,2026-08-25
8031310,30,299,2026-08-25
8115722,30,48,2026-08-25
8039474,30,214,2026-08-25
8039477,30,89,2026-08-25
8039476,30,275,2026-08-25
8131317,30,195,2026-08-25
8018369,30,247,2026-08-25
8122322,30,195,2026-08-25
8110940,30,163,2026-08-25
8131289,30,191,2026-08-25
8131291,30,129,2026-08-25
8131292,30,139,2026-08-25
8118282,30,32,2026-08-25
8118283,30,80,2026-08-25
8141347,30,162,2026-08-25
8141346,30,207,2026-08-25
8141345,30,100,2026-08-25
8136100,30,26,2026-08-25
8136054,30,203,2026-08-25
8136053,30,270,2026-08-25
8136046,30,241,2026-08-25
8136051,30,293,2026-08-25
8136049,30,36,2026-08-25
8133087,30,175,2026-08-25
8133086,30,251,2026-08-25
8134607,30,102,2026-08-25
8134606,30,277,2026-08-25
6309864,30,229,2026-08-25
8139935,30,135,2026-08-25
8139933,30,273,2026-08-25
8139934,30,31,2026-08-25
8023033,30,42,2026-08-25
8023035,30,221,2026-08-25
8023034,30,77,2026-08-25
8021735,30,150,2026-08-25
8134609,30,70,2026-08-25
8139519,30,263,2026-08-25
8139518,30,106,2026-08-25
8139517,30,187,2026-08-25
8134608,30,47,2026-08-25
8020142,30,49,2026-08-25
8021415,30,55,2026-08-25
8020141,30,60,2026-08-25
8020140,30,275,2026-08-25
8020139,30,193,2026-08-25
8139589,30,189,2026-08-25
8139586,30,239,2026-08-25
8139588,30,118,2026-08-25
8139587,30,296,2026-08-25
8139590,30,20,2026-08-25
8139592,30,108,2026-08-25
8139591,30,79,2026-08-25
8005617,30,224,2026-08-25
8138483,30,296,2026-08-25
8013721,30,244,2026-08-25
8115723,30,174,2026-08-25
8125431,30,52,2026-08-25
8015970,30,218,2026-08-25
8141962,30,286,2026-08-25
8141193,30,122,2026-08-25
8141196,30,266,2026-08-25
8141194,30,118,2026-08-25
8141192,30,177,2026-08-25
8141195,30,68,2026-08-25
8141191,30,261,2026-08-25
8141686,30,65,2026-08-25
8143693,30,32,2026-08-25
8141684,30,241,2026-08-25
8143695,30,31,2026-08-25
8141688,30,100,2026-08-25
8141685,30,171,2026-08-25
8141690,30,87,2026-08-25
8143694,30,131,2026-08-25
8143692,30,44,2026-08-25
8141683,30,72,2026-08-25
8139594,30,99,2026-08-25
8140780,30,108,2026-08-25
8137162,30,279,2026-08-25
8139595,30,81,2026-08-25
8139596,30,193,2026-08-25
8140778,30,102,2026-08-25
8137163,30,192,2026-08-25
8140777,30,111,2026-08-25
8137161,30,26,2026-08-25
8139597,30,241,2026-08-25
8140781,30,181,2026-08-25
8140776,30,49,2026-08-25
8137160,30,180,2026-08-25
8140779,30,66,2026-08-25
8042649,30,138,2026-08-25
8132750,30,138,2026-08-25
8132744,30,288,2026-08-25
8110783,30,61,2026-08-25
8010099,30,36,2026-08-25
8140852,30,225,2026-08-25
8140851,30,110,2026-08-25
8140850,30,164,2026-08-25
8140841,30,223,2026-08-25
8140849,30,69,2026-08-25
8140842,30,130,2026-08-25
8140839,30,173,2026-08-25
8140845,30,200,2026-08-25
8140829,30,171,2026-08-25
8140838,30,270,2026-08-25
8140837,30,36,2026-08-25
8140836,30,158,2026-08-25
8140835,30,280,2026-08-25
8140833,30,138,2026-08-25
8140834,30,256,2026-08-25
8140848,30,240,2026-08-25
8140846,30,169,2026-08-25
8042827,30,235,2026-08-25
8117390,30,44,2026-08-25
8117392,30,141,2026-08-25
8117393,30,107,2026-08-25
8025922,30,70,2026-08-25
8025913,30,134,2026-08-25
8025914,30,97,2026-08-25
